Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-February-2023,8925.00,8961.05,8850.00,8943.10,8917.936246276067527308,5035,1308,44901809.00,2067,41.05,111.05,18.10
2-February-2023,8765.00,8936.25,8757.45,8868.65,8860.492251991310644460,6905,1785,61181699.00,1950,28.24,178.80,103.65
1-February-2023,8912.00,9027.65,8678.20,8761.05,8873.604315723198443134,17471,3913,155030741.00,4111,23.53,349.45,-150.95
31-January-2023,8822.55,8940.00,8822.55,8891.30,8894.772144784172661870,17792,4237,158255786.00,10734,60.33,117.45,68.75
30-January-2023,8734.90,8862.25,8723.25,8818.60,8800.389624088991177598,10428,2537,91770463.00,4493,43.09,139.00,83.70
27-January-2023,8820.00,8890.75,8620.40,8734.85,8737.924191482548831252,12492,3106,109154149.00,2482,19.87,270.35,-85.15
25-January-2023,8746.00,8832.00,8681.25,8781.75,8777.215721237787436383,26919,5453,236273870.00,6719,24.96,150.75,35.75
24-January-2023,8435.00,8715.95,8416.05,8698.60,8579.390561836615577509,46259,9236,396874028.00,17237,37.26,299.90,263.60
23-January-2023,8490.00,8490.00,8383.80,8423.15,8430.694477355245557041,26165,8241,220589121.00,22221,84.93,106.20,-66.85
20-January-2023,8460.10,8500.25,8411.50,8443.60,8460.195012468827930174,6015,1834,50888073.00,2460,40.90,88.75,-16.50
19-January-2023,8492.95,8515.00,8457.15,8502.85,8490.785995826570832367,8626,1739,73241520.00,3633,42.12,57.85,9.90
18-January-2023,8449.00,8534.85,8449.00,8496.05,8497.794305205398190716,6743,1271,57300627.00,1394,20.67,85.85,47.05
17-January-2023,8390.05,8490.00,8340.95,8472.95,8421.096468455103638686,24267,5297,204354748.00,16967,69.92,149.05,82.90
16-January-2023,8452.60,8509.55,8346.45,8384.55,8398.535168195718654434,10791,2721,90628593.00,6450,59.77,163.10,-68.05
13-January-2023,8375.05,8500.00,8354.40,8452.65,8445.787725444401193719,7707,1977,65091686.00,2317,30.06,145.60,77.60
12-January-2023,8301.05,8378.45,8260.10,8365.90,8326.361506055818852027,7596,2524,63247042.00,2751,36.22,118.35,64.85
11-January-2023,8349.95,8349.95,8251.10,8284.70,8288.929998995681430149,9957,2075,82532876.00,3800,38.16,98.85,-65.25
