Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-October-2022,1225.05,1237.10,1196.30,1231.55,1229.761784321240584760,1223681,2952,1504836130.00,1167851,95.44,40.80,6.50
14-October-2022,1261.50,1273.10,1228.25,1230.25,1245.930856676899462778,41696,2112,51950333.00,10868,26.06,44.85,-31.25
13-October-2022,1251.05,1274.00,1241.00,1247.70,1255.633097219296397724,75952,4212,95367845.00,26659,35.10,33.00,-3.35
12-October-2022,1238.35,1259.40,1230.20,1248.25,1247.483762455161418891,125450,3478,156496838.00,80215,63.94,29.20,9.90
11-October-2022,1246.05,1249.40,1225.30,1228.60,1242.720160952781176811,1187429,3567,1475641958.00,1147958,96.68,24.10,-17.45
10-October-2022,1232.20,1246.30,1217.95,1243.00,1232.922009074265700867,62815,4716,77445996.00,22329,35.55,28.35,10.80
7-October-2022,1256.10,1260.00,1232.55,1239.25,1240.812171896994286660,60385,3187,74926443.00,16825,27.86,27.45,-16.85
6-October-2022,1265.00,1277.05,1254.55,1256.45,1265.122070269557187458,136446,5638,172620846.00,102163,74.87,22.50,-8.55
4-October-2022,1266.00,1277.90,1255.20,1259.85,1261.200295783144252661,102778,4756,129623644.00,52379,50.96,22.70,-6.15
3-October-2022,1266.00,1275.85,1241.80,1251.50,1261.861257795212230939,79536,6212,100363397.00,23397,29.42,34.05,-14.50
