Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-March-2023,862.10,866.50,852.00,863.40,856.366606170598911070,55651,5440,47657658.00,17813,32.01,14.50,1.30
21-March-2023,867.55,872.35,860.45,862.70,864.905930320116071920,54449,4780,47093263.00,14227,26.13,11.90,-4.85
20-March-2023,874.30,877.00,862.05,867.25,863.947640335709164522,284532,6464,245820750.00,225623,79.30,14.95,-7.05
17-March-2023,886.95,888.50,870.05,874.30,880.386802727531016194,42236,4328,37184017.00,17273,40.90,18.45,-12.65
16-March-2023,878.20,890.00,876.65,883.80,885.516447153408719524,122392,8637,108380129.00,61717,50.43,13.35,5.60
15-March-2023,876.90,883.55,872.90,878.15,878.503861274922774501,42732,3813,37540227.00,15693,36.72,10.65,1.25
14-March-2023,872.30,883.00,853.50,872.20,874.909463521763001538,183959,12823,160947470.00,59707,32.46,29.50,-0.10
13-March-2023,882.00,888.90,872.20,875.15,880.261688266844685895,86882,9958,76478896.00,51195,58.92,16.70,-6.85
10-March-2023,883.90,884.90,871.45,881.60,879.929082128210662637,148256,8409,130454766.00,92363,62.30,13.45,-2.30
9-March-2023,879.95,896.85,877.05,881.30,887.277638190954773869,189448,13624,168092974.00,82083,43.33,19.80,1.35
8-March-2023,882.05,882.90,871.10,877.55,875.642706600110926234,81135,9286,71045271.00,43087,53.11,11.80,-4.50
6-March-2023,884.00,884.55,869.05,881.05,877.156559227703085656,107627,10846,94405729.00,49143,45.66,15.50,-2.95
3-March-2023,890.00,892.15,877.20,878.85,882.621211487814054596,71763,8444,63339546.00,33761,47.05,14.95,-11.15
2-March-2023,900.55,903.20,883.60,886.70,889.193426094518574883,73594,7840,65439301.00,30924,42.02,19.60,-13.85
1-March-2023,913.90,913.90,896.15,899.85,902.438260713201991481,88979,7091,80298054.00,45212,50.81,17.75,-14.05
28-February-2023,945.25,946.20,904.20,906.05,923.520247096813012695,99718,9373,92091592.00,42012,42.13,42.00,-39.20
27-February-2023,965.50,968.25,949.15,950.35,956.317732709308372334,28845,3668,27584985.00,12851,44.55,19.10,-15.15
24-February-2023,960.00,966.80,955.00,963.20,959.872149231531978185,48408,3506,46465491.00,27027,55.83,11.80,3.20
