Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-November-2022,1535.25,1573.00,1535.25,1570.05,1563.231689867348844242,872891,43487,1364530873.00,703633,80.61,37.75,34.80
10-November-2022,1482.00,1511.40,1482.00,1502.25,1501.820212678262303190,60655,3620,91092905.00,25783,42.51,29.40,20.25
9-November-2022,1527.00,1527.00,1501.00,1510.25,1515.172534156279961649,66752,5435,101140797.00,33813,50.65,26.00,-16.75
7-November-2022,1515.00,1526.95,1491.00,1507.05,1505.486184568236864218,80924,6479,121829964.00,37782,46.69,35.95,-7.95
4-November-2022,1522.70,1522.70,1501.25,1513.90,1509.500212823155159281,89276,5992,134762141.00,40775,45.67,21.45,-8.80
3-November-2022,1541.00,1544.00,1522.25,1530.50,1532.360610890107545772,79687,5949,122109220.00,35542,44.60,21.75,-10.50
2-November-2022,1574.00,1574.00,1545.00,1552.45,1553.624292365483307761,75604,4952,117460211.00,34049,45.04,29.00,-21.55
1-November-2022,1550.00,1574.50,1547.60,1572.75,1560.627463413137521604,488905,29518,762998570.00,386426,79.04,26.90,22.75
31-October-2022,1522.20,1546.20,1522.20,1537.90,1537.859226964863844916,100694,6276,154853197.00,51263,50.91,24.00,15.70
28-October-2022,1521.00,1526.00,1507.40,1512.60,1516.274870237777732187,48743,3940,73907786.00,19543,40.09,18.60,-8.40
27-October-2022,1526.05,1534.60,1513.00,1522.60,1522.802733636019674612,105720,6986,160990705.00,53567,50.67,21.60,-3.45
25-October-2022,1525.00,1532.65,1521.10,1525.75,1517.711687987024186480,2696093,5008,4091891858.00,2660370,98.68,11.55,0.75
24-October-2022,1516.05,1521.80,1511.25,1517.40,1518.339551826912462744,54354,4825,82527828.00,41549,76.44,10.55,1.35
21-October-2022,1500.90,1505.90,1491.20,1500.10,1499.837885143019332050,63418,4011,95116719.00,22926,36.15,14.70,-0.80
20-October-2022,1477.00,1503.90,1476.00,1500.30,1494.329310274998987485,74073,4981,110689455.00,25549,34.49,27.90,23.30
19-October-2022,1507.45,1507.45,1481.85,1485.00,1490.057410713171133608,80107,5644,119364029.00,35477,44.29,25.60,-22.45
18-October-2022,1507.00,1510.00,1497.05,1503.55,1503.957110341708617225,269762,18105,405710478.00,185393,68.72,12.95,-3.45
17-October-2022,1475.00,1495.00,1475.00,1490.20,1474.712142380711922401,4245856,9133,6261415398.00,4162262,98.03,20.00,15.20
14-October-2022,1487.70,1494.00,1468.00,1474.05,1479.579364270061125658,519749,17418,769009895.00,123484,23.76,26.00,-13.65
13-October-2022,1434.45,1437.60,1415.85,1419.75,1424.402719040370459124,296281,16856,422023462.00,167804,56.64,21.75,-14.70
12-October-2022,1446.00,1446.00,1414.20,1428.85,1431.978320083444574751,370066,17245,529926489.00,257068,69.47,31.80,-17.15
11-October-2022,1462.00,1479.00,1420.20,1423.90,1461.842855846018118729,5673135,27247,8293231870.00,5395973,95.11,58.80,-38.10
10-October-2022,1423.35,1465.00,1423.35,1462.70,1447.049859091137839061,238452,15714,345051933.00,133455,55.97,41.65,39.35
7-October-2022,1450.00,1457.20,1440.90,1451.75,1449.443476951301323913,73041,6688,105868801.00,36575,50.07,16.30,1.75
6-October-2022,1441.00,1459.40,1441.00,1454.95,1453.128009246518795751,363380,22302,528037656.00,239782,65.99,18.40,13.95
4-October-2022,1419.00,1432.20,1414.00,1429.80,1427.432482095471795018,175235,8444,250136131.00,92072,52.54,18.20,10.80
3-October-2022,1411.00,1411.00,1387.00,1394.00,1400.441201443430269581,160174,9405,224314269.00,85150,53.16,24.00,-17.00
30-September-2022,1386.05,1419.70,1376.00,1413.10,1394.398966290031562472,192317,13004,268166626.00,106699,55.48,43.70,27.05
29-September-2022,1406.00,1409.25,1393.00,1397.55,1399.377513962982442958,159708,6823,223491784.00,100270,62.78,16.25,-8.45
28-September-2022,1381.90,1405.70,1378.00,1394.45,1399.958801058656340856,306804,10083,429512960.00,226041,73.68,27.70,12.55
27-September-2022,1395.00,1406.00,1378.80,1392.20,1391.994929441224422931,512764,11226,713764888.00,386953,75.46,27.20,-2.80
26-September-2022,1363.50,1398.90,1355.50,1379.75,1375.233080475515995168,623407,19996,857329929.00,311318,49.94,43.40,16.25
23-September-2022,1367.80,1394.60,1362.00,1365.25,1377.687682564905475194,256758,13451,353732334.00,107787,41.98,32.60,-2.55
22-September-2022,1376.00,1383.75,1360.05,1367.80,1371.706449697239631385,188598,12798,258701093.00,104254,55.28,23.70,-8.20
21-September-2022,1381.00,1388.45,1368.60,1376.55,1377.468759659860504588,177927,10180,245088884.00,82748,46.51,19.85,-4.45
20-September-2022,1412.00,1413.85,1385.20,1388.35,1400.224653403565896874,315713,25515,442069126.00,169657,53.74,28.65,-23.65
19-September-2022,1386.00,1406.00,1380.60,1390.30,1378.841510813674986218,3366848,33438,4642349783.00,3155665,93.73,25.40,4.30
16-September-2022,1425.00,1425.00,1368.60,1379.15,1395.224945249765356137,460272,30514,642182976.00,293369,63.74,56.40,-45.85
15-September-2022,1473.35,1475.25,1429.40,1432.05,1444.626854351599848859,365222,21801,527609509.00,203788,55.80,45.85,-41.30
14-September-2022,1500.00,1500.00,1471.10,1475.00,1481.167923794405737758,760994,60820,1127159903.00,410793,53.98,28.90,-25.00
13-September-2022,1552.00,1553.00,1541.10,1545.00,1548.189038905177246950,108803,4931,168447612.00,42781,39.32,11.90,-7.00
12-September-2022,1525.00,1545.00,1523.55,1535.60,1538.533983732117989618,379152,21412,583338237.00,214049,56.45,21.45,10.60
9-September-2022,1489.10,1519.80,1480.00,1511.85,1498.666864833341826190,353238,24359,529386086.00,236352,66.91,39.80,22.75
8-September-2022,1472.00,1480.00,1464.00,1475.95,1472.372447396418228027,270704,16135,398577111.00,123825,45.74,16.00,3.95
7-September-2022,1442.00,1465.75,1437.30,1457.80,1451.823956086053591951,198388,18061,288024451.00,75614,38.11,28.45,15.80
6-September-2022,1461.55,1469.70,1446.00,1455.35,1454.851441626420659938,103737,5949,150921924.00,53874,51.93,23.70,-6.20
5-September-2022,1451.00,1467.00,1447.00,1460.85,1459.056842665585156269,78902,5395,115122503.00,32964,41.78,20.00,9.85
2-September-2022,1480.00,1480.00,1448.30,1452.90,1456.255791625769895118,233311,24128,339760495.00,124720,53.46,31.70,-27.10
1-September-2022,1465.00,1468.20,1451.50,1464.40,1458.724933481870615850,587058,32034,856356142.00,437079,74.45,16.70,-0.60
