Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-March-2023,1743.95,1776.30,1738.00,1769.40,1759.237223385590582375,35338,3514,62167925.00,9386,26.56,38.30,25.45
28-February-2023,1675.15,1773.25,1673.15,1732.25,1725.393480239702647348,52732,4601,90983449.00,8038,15.24,100.10,57.10
27-February-2023,1729.40,1729.40,1659.25,1694.35,1689.446033418636158362,26572,3420,44891960.00,5718,21.52,70.15,-35.05
24-February-2023,1740.00,1749.70,1705.00,1729.45,1724.795181783503037060,34079,3639,58779295.00,7556,22.17,44.70,-10.55
23-February-2023,1755.15,1760.30,1723.15,1729.00,1739.635695037053671682,35624,4059,61972782.00,8296,23.29,37.15,-26.15
22-February-2023,1827.85,1827.85,1719.30,1752.35,1761.437154549319727891,37632,3768,66286403.00,10927,29.04,108.55,-75.50
21-February-2023,1863.60,1867.00,1822.00,1827.85,1846.096078670901539213,32744,3041,60448570.00,8034,24.54,45.00,-35.75
20-February-2023,1832.00,1861.95,1811.15,1850.75,1833.639626459143968871,32125,3073,58905673.00,7546,23.49,50.80,18.75
17-February-2023,1835.00,1865.00,1813.15,1839.85,1838.774046521374685666,38176,4145,70197038.00,8302,21.75,51.85,4.85
16-February-2023,1860.05,1890.80,1829.25,1841.35,1859.419329827400215749,29664,3193,55157815.00,6878,23.19,61.55,-18.70
15-February-2023,1815.05,1864.60,1812.05,1851.55,1845.939475849100951933,34036,3739,62828396.00,7931,23.30,52.55,36.50
14-February-2023,1838.25,1859.00,1772.00,1830.85,1818.305906691613806112,65739,5268,119533612.00,10220,15.55,87.00,-7.40
13-February-2023,1894.70,1902.70,1798.00,1823.40,1833.197059930862169285,58434,6503,107121037.00,13445,23.01,104.70,-71.30
10-February-2023,1890.00,1918.70,1872.05,1881.00,1893.181056795942846320,47521,4684,89965857.00,10420,21.93,46.65,-9.00
9-February-2023,1975.00,1975.00,1893.70,1916.50,1917.428100201685107345,53053,5000,101725313.00,8123,15.31,81.30,-58.50
8-February-2023,2011.00,2041.05,1952.65,1973.35,1988.090671214330347844,76816,8226,152717173.00,16606,21.62,88.40,-37.65
7-February-2023,1970.00,2065.00,1965.10,1995.50,2012.296143233333753323,79367,7823,159709908.00,14955,18.84,99.90,25.50
6-February-2023,1939.00,1987.50,1881.00,1969.50,1938.940116529995684074,74144,6707,143760776.00,12235,16.50,106.50,30.50
3-February-2023,1845.35,1938.95,1696.05,1926.30,1816.384814840244429455,247597,23123,449731431.00,29716,12.00,242.90,80.95
2-February-2023,1950.05,1988.00,1769.00,1845.35,1850.578655583771334081,135464,15779,250686787.00,26396,19.49,219.00,-104.70
1-February-2023,1996.40,2008.00,1750.00,1844.40,1852.816526903627169207,219896,21684,407426943.00,39322,17.88,258.00,-152.00
31-January-2023,1931.80,2014.00,1888.45,1969.35,1963.664084002127807202,86474,8437,169805888.00,17463,20.19,125.55,37.55
30-January-2023,1902.00,2072.45,1800.00,1904.70,1927.675666135276702345,175640,15779,338576954.00,31909,18.17,272.45,2.70
27-January-2023,2183.95,2183.95,1733.30,1884.05,1891.511976217440543601,176600,16908,334041015.00,52361,29.65,450.65,-299.90
25-January-2023,2337.95,2337.95,2157.30,2166.60,2209.721959618093598372,31945,4705,70589568.00,10443,32.69,180.65,-171.35
24-January-2023,2307.20,2353.20,2307.20,2336.20,2337.646931184128952262,3226,587,7541249.00,1199,37.17,46.00,29.00
23-January-2023,2355.00,2362.80,2290.00,2322.50,2319.735715241536196975,7473,1448,17335385.00,2460,32.92,72.80,-32.50
